#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
 20260816    02:39:40       1    294     70      -    100     17      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:41       0    315     62      -    100     18      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:41       1    290     70      -    100     18      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:42       0    318     62      -    100     18      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:42       1    292     70      -    100     18      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:43       0    314     62      -    100     18      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:43       1    288     70      -    100     18      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:44       0    315     61      -     98     18      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:44       1    289     69      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:45       0    313     62      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:45       1    287     70      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:46       0    315     62      -    100     26      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:46       1    288     69      -     99     27      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:47       0    321     63      -     99     26      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:47       1    294     70      -     98     28      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:48       0    311     62      -     98     20      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:48       1    286     70      -     98     20      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:49       0    314     62      -    100     19      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:49       1    289     69      -    100     21      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:50       0    313     62      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:50       1    287     69      -    100     17      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:51       0    314     63      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:51       1    288     70      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:52       0    322     63      -    100     25      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:52       1    295     70      -    100     25      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:53       0    316     63      -     98     22      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:53       1    288     70      -     98     22      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:54       0    324     63      -     98     18      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:54       1    293     69      -    100     17      0      0      0      0   9501   1875  23289  23289      0
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
 20260816    02:39:55       0    316     63      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:55       1    286     69      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:56       0    314     63      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:56       1    287     70      -    100     16      0      0      0      0   9501   1875  23289  23289      0
