# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    800    782 
    0    343     62      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    759    779 
    1    322     74      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    802    782 
    0    353     62      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    764    776 
    1    333     73      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    805    779 
    0    354     62      -     98     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    761    772 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    839    782 
    0    354     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    752   2015 
    1    334     74      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1975   2087 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    348     62      -     98     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2131    772 
    1    327     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    760    774 
    0    348     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    770    772 
    1    328     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    714    698 
    0    346     62      -     98     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    753    771 
    1    325     74      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    773    773 
    0    354     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    755    768 
    1    334     74      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    791    765 
    0    347     62      -     98     61      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    685    688 
    1    326     74      -     99     59      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    721   2591 
    0    347     62      -     99     50      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    761    772 
    1    327     74      -     99     48      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    750    773 
    0    348     62      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    764    771 
    1    327     74      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    835    776 
    0    347     62      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    689    688 
    1    327     74      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    827    769 
    0    354     62      -     98     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    733    687 
    1    333     74      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    756    776 
    0    347     62      -     99     27      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    760    770 
    1    326     74      -     99     29      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    820    783 
    0    350     62      -     98     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    775    776 
    1    333     74      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    824    783 
    0    354     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    735    786 
    1    334     74      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    835    773 
    0    354     62      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    758    765 
    1    334     74      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    804    769 
